factor,signal_date,Q1,Q2,Q3,Q4,Q5,Q1_minus_Q5
intraday_range,2025-11-10,1.31496357,1.32255812,1.37738408,1.39075607,0.85280325,1.51465365
intraday_range,2025-11-11,1.32113583,1.31955302,1.37574183,1.38320858,0.85250046,1.52230100
intraday_range,2025-11-12,1.33235436,1.33247130,1.39177026,1.41016144,0.85841642,1.52466367
intraday_range,2025-11-13,1.33503949,1.33440883,1.39078919,1.41097966,0.84788384,1.54644366
intraday_range,2025-11-14,1.33759057,1.33310070,1.39459907,1.41740436,0.84432251,1.55589416
intraday_range,2025-11-17,1.33327294,1.31897750,1.38417023,1.39013488,0.83405987,1.56978357
intraday_range,2025-11-18,1.31662179,1.30239490,1.36786993,1.37040101,0.82661451,1.56419156
intraday_range,2025-11-19,1.31134298,1.29896769,1.36002977,1.36293638,0.81166158,1.58621539
intraday_range,2025-11-20,1.27369894,1.24809583,1.30753105,1.30579630,0.77013226,1.62184072
intraday_range,2025-11-21,1.27783211,1.25503162,1.32748322,1.33003033,0.77834732,1.60980331
intraday_range,2025-11-24,1.28764349,1.26703988,1.34246061,1.34982474,0.78725968,1.60373078
intraday_range,2025-11-25,1.28400990,1.25908204,1.33463446,1.33906859,0.78227883,1.60935174
intraday_range,2025-11-26,1.28671636,1.26295178,1.34076651,1.34966313,0.78005048,1.61732827
intraday_range,2025-11-27,1.29610600,1.27891597,1.35758754,1.36819046,0.78427205,1.62037766
intraday_range,2025-11-28,1.31013015,1.29073494,1.35759034,1.37372581,0.78618485,1.63395848
intraday_range,2025-12-01,1.30546750,1.28680568,1.35252060,1.36640001,0.77847601,1.64416492
intraday_range,2025-12-02,1.30239158,1.28035417,1.34748470,1.35464236,0.77384153,1.65007913
intraday_range,2025-12-03,1.29222956,1.26596314,1.33439938,1.33874360,0.75798977,1.67100531
intraday_range,2025-12-04,1.30040404,1.28321548,1.35068793,1.35518055,0.76100578,1.67492701
intraday_range,2025-12-05,1.29942217,1.28708671,1.35420833,1.36857796,0.76678016,1.66095330
intraday_range,2025-12-08,1.28979328,1.27412094,1.34410806,1.36302884,0.76118678,1.66076148
intraday_range,2025-12-09,1.28925599,1.26999943,1.34053894,1.36460796,0.75732541,1.66849441
intraday_range,2025-12-10,1.27455959,1.25341967,1.31609304,1.33904105,0.73891965,1.69002548
intraday_range,2025-12-11,1.27990652,1.25555105,1.31528196,1.33296517,0.72867584,1.72054454
intraday_range,2025-12-12,1.28160574,1.25787629,1.31433031,1.33538635,0.72441591,1.73288729
intraday_range,2025-12-15,1.26675153,1.23976967,1.28587760,1.30833807,0.70680444,1.75493128
intraday_range,2025-12-16,1.27152860,1.24086630,1.29404284,1.31794357,0.70856033,1.75718960
intraday_range,2025-12-17,1.27873516,1.24646484,1.30070592,1.32666508,0.70866191,1.76689680
intraday_range,2025-12-18,1.29237165,1.26973981,1.32036937,1.35393630,0.72098570,1.75501234
intraday_range,2025-12-19,1.29247642,1.27379095,1.33437557,1.35005068,0.72104701,1.75500537
intraday_range,2025-12-22,1.28626764,1.26577556,1.32514621,1.34073583,0.71567191,1.75965752
intraday_range,2025-12-23,1.29386191,1.27802265,1.33782281,1.35365886,0.71985398,1.75976409
intraday_range,2025-12-24,1.30053693,1.28471508,1.34648405,1.36600248,0.72281905,1.76159424
intraday_range,2025-12-25,1.29826258,1.27741764,1.34094062,1.36485917,0.72139774,1.76197750
intraday_range,2025-12-26,1.29583950,1.27098226,1.33719219,1.36270191,0.72581567,1.74789839
intraday_range,2025-12-29,1.29051035,1.26626379,1.33071146,1.35649611,0.72416362,1.74468858
intraday_range,2025-12-30,1.29252257,1.27044483,1.33316314,1.35642604,0.71818077,1.76182313
intraday_range,2025-12-31,1.30868078,1.29457055,1.34543035,1.36779685,0.72629862,1.76393369
intraday_range,2026-01-05,1.32059634,1.30753347,1.35838853,1.37516967,0.73505140,1.75873681
intraday_range,2026-01-06,1.32011178,1.30299634,1.35248025,1.37109622,0.73536550,1.75733994
intraday_range,2026-01-07,1.32744771,1.31811562,1.36771305,1.39119033,0.74113041,1.75332887
intraday_range,2026-01-08,1.33462551,1.32751093,1.38482242,1.40584321,0.75279540,1.73521306
