scope,check,violations
minute_sample:20260304,volume_nonnegative,0
minute_sample:20260304,trade_count_nonnegative,0
minute_sample:20260304,amount_nonnegative,0
minute_sample:20260304,buy_volume_nonnegative,0
minute_sample:20260304,sell_volume_nonnegative,0
minute_sample:20260304,buy_amount_nonnegative,0
minute_sample:20260304,sell_amount_nonnegative,0
minute_sample:20260304,buy_sell_volume_not_above_total,0
minute_sample:20260304,buy_sell_amount_not_above_total,0
minute_sample:20260323,ohlc_order,0
minute_sample:20260323,volume_nonnegative,0
minute_sample:20260323,trade_count_nonnegative,0
minute_sample:20260323,amount_nonnegative,0
minute_sample:20260323,buy_volume_nonnegative,0
minute_sample:20260323,sell_volume_nonnegative,0
minute_sample:20260323,buy_amount_nonnegative,0
minute_sample:20260323,sell_amount_nonnegative,0
minute_sample:20260323,buy_sell_volume_not_above_total,0
minute_sample:20260323,buy_sell_amount_not_above_total,0
minute_sample:20260410,ohlc_order,0
minute_sample:20260410,volume_nonnegative,0
minute_sample:20260410,trade_count_nonnegative,0
minute_sample:20260410,amount_nonnegative,0
minute_sample:20260410,buy_volume_nonnegative,0
minute_sample:20260410,sell_volume_nonnegative,0
minute_sample:20260410,buy_amount_nonnegative,0
minute_sample:20260410,sell_amount_nonnegative,0
minute_sample:20260410,buy_sell_volume_not_above_total,0
minute_sample:20260410,buy_sell_amount_not_above_total,0
minute_sample:20260429,ohlc_order,0
minute_sample:20260429,volume_nonnegative,0
minute_sample:20260429,trade_count_nonnegative,0
minute_sample:20260429,amount_nonnegative,0
minute_sample:20260429,buy_volume_nonnegative,0
minute_sample:20260429,sell_volume_nonnegative,0
minute_sample:20260429,buy_amount_nonnegative,0
minute_sample:20260429,sell_amount_nonnegative,0
minute_sample:20260429,buy_sell_volume_not_above_total,0
minute_sample:20260429,buy_sell_amount_not_above_total,0
minute_sample:20260521,ohlc_order,0
minute_sample:20260521,volume_nonnegative,0
minute_sample:20260521,trade_count_nonnegative,0
minute_sample:20260521,amount_nonnegative,0
minute_sample:20260521,buy_volume_nonnegative,0
minute_sample:20260521,sell_volume_nonnegative,0
minute_sample:20260521,buy_amount_nonnegative,0
minute_sample:20260521,sell_amount_nonnegative,0
minute_sample:20260521,buy_sell_volume_not_above_total,0
minute_sample:20260521,buy_sell_amount_not_above_total,0
minute_sample:20260609,ohlc_order,0
minute_sample:20260609,volume_nonnegative,0
minute_sample:20260609,trade_count_nonnegative,0
minute_sample:20260609,amount_nonnegative,0
minute_sample:20260609,buy_volume_nonnegative,0
minute_sample:20260609,sell_volume_nonnegative,0
minute_sample:20260609,buy_amount_nonnegative,0
minute_sample:20260609,sell_amount_nonnegative,0
minute_sample:20260609,buy_sell_volume_not_above_total,0
minute_sample:20260609,buy_sell_amount_not_above_total,0
minute_sample:20260630,ohlc_order,0
minute_sample:20260630,volume_nonnegative,0
minute_sample:20260630,trade_count_nonnegative,0
minute_sample:20260630,amount_nonnegative,0
minute_sample:20260630,buy_volume_nonnegative,0
minute_sample:20260630,sell_volume_nonnegative,0
minute_sample:20260630,buy_amount_nonnegative,0
minute_sample:20260630,sell_amount_nonnegative,0
minute_sample:20260630,buy_sell_volume_not_above_total,0
minute_sample:20260630,buy_sell_amount_not_above_total,0
